ALUNO_ID;DESC_ASSUNTO;DT_LANCADO
1.121.043;FALTA AULA DE PROGRESSÃO PARCIAL [-];19.05.0214
1.122.977;APOIO PEDAGÓGICO (FALTA);30.12.1899
1.122.572;NÃO TROUXE O MATERIAL DIDÁTICO [-];30.12.1899
1.122.542;APOIO PEDAGÓGICO;30.12.1899
1.122.856;RECEPÇÃO MARISTA;30.12.1899
1.011.453;FALTA REGULAR MATUTINO [-];30.12.1899
1.121.784;APOIO PEDAGÓGICO (FALTA);30.12.1899
1.121.432;TURMAS OLIMPICAS (FALTA);30.12.1899
120.199;MONITORIA [+];30.12.1899
1.122.699;OBSERVAÇÃO [-];30.12.1899
4.120.144;OBSERVAÇÃO [-];30.12.1899
1.120.106;FALTA REGULAR MATUTINO [-];30.12.1899
1.122.737;DEIXOU DE FAZER REDAÇÃO SEMANAL [-];30.12.1899
1.122.753;DEIXOU DE FAZER TAREFA MÍNIMA SEMANAL [-];30.12.1899
120.306;ESPECÍFICA [+];30.12.1899
1.121.276;FALTA REGULAR MATUTINO [-];30.12.1899
1.121.303;FALTA REGULAR MATUTINO [-];30.12.1899
1.121.303;FALTA REGULAR MATUTINO [-];30.12.1899
1.121.492;NÃO FEZ TAREFA [-];30.12.1899
1.122.908;NÃO FEZ TAREFA [-];30.12.1899
1.122.740;NÃO FEZ TAREFA [-];30.12.1899
4.120.225;FALTA AULA DE ESPANHOL [-];30.12.1899
120.473;FALTA NO PRÉ-ENEM [-];30.12.1899
1.122.839;FALTA REGULAR MATUTINO [-];30.12.1899
1.122.168;FALTA NO SIMULADO JUSTIFICADA [N];19.09.2001
1.121.411;FALTA REGULAR MATUTINO [-];30.09.2013
1.121.326;OBSERVAÇÃO [-];23.12.2013
1.122.870;OBSERVAÇÃO [-];23.12.2013
1.121.502;DIREÇÃO [N];26.12.2013
1.121.444;MONITORIA [+];02.01.2014
1.121.444;MONITORIA [+];02.01.2014
1.122.692;MONITORIA [+];02.01.2014
1.122.692;MONITORIA [+];02.01.2014
1.120.143;MONITORIA [+];03.01.2014
1.011.609;MONITORIA [+];03.01.2014
120.345;DIREÇÃO [N];17.01.2014
1.122.491;DIREÇÃO [N];17.01.2014
120.179;DIREÇÃO [N];20.01.2014
120.123;ATENDIMENTO PSICOPEDAGÓGICO;21.01.2014
1.121.427;ATENDIMENTO PSICOPEDAGÓGICO;21.01.2014
1.122.731;ATENDIMENTO PSICOPEDAGÓGICO;21.01.2014
120.119;DIREÇÃO [N];21.01.2014
1.122.637;DIREÇÃO [N];21.01.2014
120.065;FALTA REGULAR TURMA  ITA (VESPERTINO);21.01.2014
110.331;FALTA REGULAR MATUTINO [-];21.01.2014
110.378;FALTA REGULAR MATUTINO [-];21.01.2014
120.024;FALTA REGULAR MATUTINO [-];21.01.2014
120.048;FALTA REGULAR MATUTINO [-];21.01.2014
120.061;FALTA REGULAR MATUTINO [-];21.01.2014
120.065;FALTA REGULAR MATUTINO [-];21.01.2014
120.066;FALTA REGULAR MATUTINO [-];21.01.2014
120.071;FALTA REGULAR MATUTINO [-];21.01.2014
120.122;FALTA REGULAR MATUTINO [-];21.01.2014
120.164;FALTA REGULAR MATUTINO [-];21.01.2014
120.188;FALTA REGULAR MATUTINO [-];21.01.2014
120.199;FALTA REGULAR MATUTINO [-];21.01.2014
120.240;FALTA REGULAR MATUTINO [-];21.01.2014
120.247;FALTA REGULAR MATUTINO [-];21.01.2014
120.258;FALTA REGULAR MATUTINO [-];21.01.2014
120.338;FALTA REGULAR MATUTINO [-];21.01.2014
120.438;FALTA REGULAR MATUTINO [-];21.01.2014
120.452;FALTA REGULAR MATUTINO [-];21.01.2014
1.120.878;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.138;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.164;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.204;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.303;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.304;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.345;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.357;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.402;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.404;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.410;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.423;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.435;FALTA REGULAR MATUTINO [-];21.01.2014
1.121.438;FALTA REGULAR MATUTINO [-];21.01.2014
